aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm
202,창신쌍용2,11110-91,0703,0000,1993,개인, , ,"60,500",22,9,2025,중개거래,서울 종로구,64.66,14,703,1,N,25.10.22,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동
112,현대,11110-90,0082,0000,2000,개인, , ,"102,990",30,9,2025,중개거래,서울 종로구,60,1,82,1,N,25.12.19,통일로,00246,00009,3000008,06,11110,0,11110,개인,18700,무악동
101,현대,11110-90,0082,0000,2000,개인, , ,"102,400",27,9,2025,중개거래,서울 종로구,60,7,82,1,N,25.11.20,통일로,00246,00020,3000008,06,11110,0,11110,개인,18700,무악동
111,현대,11110-90,0082,0000,2000,개인, , ,"136,960",16,9,2025,중개거래,서울 종로구,84.92,18,82,1,N,26.01.16,통일로,00246,00020,3000008,06,11110,0,11110,개인,18700,무악동
113,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"140,000",6,9,2025,중개거래,서울 종로구,84.858,11,60,1,N,25.12.10,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
107,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"151,500",29,9,2025,중개거래,서울 종로구,114.931,10,60,1,N,25.12.18,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
201,창신쌍용2,11110-91,0703,0000,1993,개인, , ,"61,000",27,9,2025,중개거래,서울 종로구,54.7,9,703,1,N,25.12.05,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동
110,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"131,000",18,9,2025,중개거래,서울 종로구,84.858,3,60,1,N,25.12.22,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
103,종로센트레빌,11110-2224,0002,0001,2008,개인, , ,"126,500",24,9,2025,중개거래,서울 종로구,114.67,11,2-1,1,N,25.12.15,동망산길,00047,00000,4100065,02,11110,0,11110,개인,17500,숭인동
112,현대,11110-90,0082,0000,2000,개인, , ,"109,000",7,9,2025,중개거래,"서울 은평구, 서울 종로구",60,10,82,1,N,25.10.24,통일로,00246,00009,3000008,06,11110,0,11110,개인,18700,무악동
205,창신쌍용2,11110-91,0703,0000,1993,개인, , ,"87,000",24,9,2025,중개거래,서울 종로구,106.62,5,703,1,N,25.12.15,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동
103,두산,11110-34,0232,0000,1999,개인, , ,"79,000",24,9,2025,중개거래,서울 종로구,59.95,2,232,1,N,25.11.27,지봉로5길,00007,00000,4100390,01,11110,0,11110,개인,17400,창신동
 ,동대문,11110-30,0328,0017,1966,개인, , ,"28,000",24,9,2025,중개거래,"서울 강남구, 서울 종로구",28.8,6,328-17,1,N,25.09.29,지봉로,00025,00000,3005007,01,11110,0,11110,개인,17400,창신동
 ,세종,11110-13,0100,0000,1983,개인, , ,"58,000",19,9,2025,직거래, ,91.68,2,100,1,N,25.09.29,세종대로23길,00054,00000,4100190,02,11110,0,11110,기타,11700,당주동
403,경희궁자이(4단지),11110-2464,0126,0000,2017,개인, , ,"86,000",23,9,2025,중개거래,서울 종로구,37.2635,9,126,1,N,25.09.30,송월길,00155,00000,4100192,01,11110, ,11110,개인,18000,교북동
103,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"139,500",19,9,2025,중개거래,서울 종로구,84.858,6,60,1,N,25.11.05,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
